MORGE Maxime;MANCARELLA Paolo;2010
CASSIMATIS Nicholas L.;MURUGESAN Arthi;2010
GOBET Fernand;LANE Peter C. R.;2010
HEWLETT Daniel;COHEN Paul;2010
NAN Jianglong;COSTELLO Fintan;2010
ORTEGA Pedro A.;BRAUN Daniel A.;2010
DEMASI Pedro;SZWARCFITER Jayme L.;2010
DEMASI Pedro;CRUR Adriano J. O.;2010
SZWARCFITER Jayme L.;CRUR Adriano J. O.;2010
BOHM Matt R.;STONE Robert B.;2010
RUBISCH Julian;HUSINSKY Matthias;2010
RUBISCH Julian;RAFFASEDER Hannes;2010
HUSINSKY Matthias;RAFFASEDER Hannes;2010
PALJAK Gergely Janos;KOCSIS Imre;2010
PALJAK Gergely Janos;EGEL Zoltan;2010
PALJAK Gergely Janos;TOTH Daniel;2010
PALJAK Gergely Janos;PATARICZA Andras;2010
KOCSIS Imre;EGEL Zoltan;2010
KOCSIS Imre;TOTH Daniel;2010
KOCSIS Imre;PATARICZA Andras;2010
EGEL Zoltan;TOTH Daniel;2010
EGEL Zoltan;PATARICZA Andras;2010
TOTH Daniel;PATARICZA Andras;2010
BANDINI Stefania;MARTINEZ-SIMARRO David;2010
BANDINI Stefania;PINAZO SANCHEZ J. M.;2010
BANDINI Stefania;SARTORI Fabio;2010
BANDINI Stefania;VIZZARI Giuseppe;2010
MARTINEZ-SIMARRO David;PINAZO SANCHEZ J. M.;2010
MARTINEZ-SIMARRO David;SARTORI Fabio;2010
MARTINEZ-SIMARRO David;VIZZARI Giuseppe;2010
PINAZO SANCHEZ J. M.;SARTORI Fabio;2010
PINAZO SANCHEZ J. M.;VIZZARI Giuseppe;2010
SARTORI Fabio;VIZZARI Giuseppe;2010
DEVINNEY E. J.;PRSA A.;2010
DEVINNEY E. J.;GUINAN E. F.;2010
DEVINNEY E. J.;DEGEORGE M.;2010
PRSA A.;GUINAN E. F.;2010
PRSA A.;DEGEORGE M.;2010
GUINAN E. F.;DEGEORGE M.;2010
BLUM Christian;PUCHINGER Jakob;2010
BLUM Christian;RAIDL Guenther R.;2010
BLUM Christian;ROLI Andrea;2010
PUCHINGER Jakob;RAIDL Guenther R.;2010
PUCHINGER Jakob;ROLI Andrea;2010
RAIDL Guenther R.;ROLI Andrea;2010
LONGO Luca;BARRETT Stephen;2010
SU Chang;DENG Jiefang;2010
SU Chang;YANG Yong;2010
SU Chang;WANG Guoyin;2010
DENG Jiefang;YANG Yong;2010
DENG Jiefang;WANG Guoyin;2010
YANG Yong;WANG Guoyin;2010
WANG Rifeng;XIANG Jie;2010
WANG Rifeng;ZHONG Ning;2010
XIANG Jie;ZHONG Ning;2010
KURFURST Jiri;DURON Jiri;2010
KURFURST Jiri;ONDRUSEK Cestmir;2010
DURON Jiri;ONDRUSEK Cestmir;2010
DANENAS Paulius;GARSVA Gintautas;2010
KOSTOPOULOS George;CHANDEL Sonali;2010
KOSTOPOULOS George;VAN WIEREN Douglas;2010
KOSTOPOULOS George;GU Renxiang;2010
CHANDEL Sonali;VAN WIEREN Douglas;2010
CHANDEL Sonali;GU Renxiang;2010
VAN WIEREN Douglas;GU Renxiang;2010
DOW Steven;MEHTA Manish;2010
DOW Steven;MACINTYRE Blair;2010
DOW Steven;MATEAS Michael;2010
MEHTA Manish;MACINTYRE Blair;2010
MEHTA Manish;MATEAS Michael;2010
MACINTYRE Blair;MATEAS Michael;2010
YIN Y. H.;ZHOU C.;2010
YIN Y. H.;ZHU J. Y.;2010
ZHOU C.;ZHU J. Y.;2010
RAHWAN Iyad;BONNEFON Jean-Francois;2010
RAHWAN Iyad;MADAKKATEL Mohammed Iqbal;2010
RAHWAN Iyad;AWAN Ruqiyabi Naz;2010
RAHWAN Iyad;ABDALLAH Sherief;2010
BONNEFON Jean-Francois;MADAKKATEL Mohammed Iqbal;2010
BONNEFON Jean-Francois;AWAN Ruqiyabi Naz;2010
BONNEFON Jean-Francois;ABDALLAH Sherief;2010
MADAKKATEL Mohammed Iqbal;AWAN Ruqiyabi Naz;2010
MADAKKATEL Mohammed Iqbal;ABDALLAH Sherief;2010
AWAN Ruqiyabi Naz;ABDALLAH Sherief;2010
CHEN Dawn;HOLYOAK Keith J.;2010
WANG Wei;GONG Nngsheng;2010
WANG Wei;ZHANG Zhigang;2010
GONG Nngsheng;ZHANG Zhigang;2010
DANILO CASTRILLON Omar;MARIA CARDENAS Diana;2010
DANILO CASTRILLON Omar;ALBERTO GIRALDO Jaime;2010
DANILO CASTRILLON Omar;ELIANA AVILA Lina;2010
MARIA CARDENAS Diana;ALBERTO GIRALDO Jaime;2010
MARIA CARDENAS Diana;ELIANA AVILA Lina;2010
ALBERTO GIRALDO Jaime;ELIANA AVILA Lina;2010
TIMCHENKO L. I.;KOKRIATSKAIA N. I.;2010
TIMCHENKO L. I.;IVASYUK I. D.;2010
TIMCHENKO L. I.;KOSENKO G. L.;2010
TIMCHENKO L. I.;MAKARENKO R. V.;2010
KOKRIATSKAIA N. I.;IVASYUK I. D.;2010
KOKRIATSKAIA N. I.;KOSENKO G. L.;2010
KOKRIATSKAIA N. I.;MAKARENKO R. V.;2010
IVASYUK I. D.;KOSENKO G. L.;2010
IVASYUK I. D.;MAKARENKO R. V.;2010
KOSENKO G. L.;MAKARENKO R. V.;2010
FOZO Ladislav;ANDOGA Rudolf;2010
FOZO Ladislav;MADARASZ Ladislav;2010
ANDOGA Rudolf;MADARASZ Ladislav;2010
NAVARRO Marti;CORCHADO Emilio;2010
NAVARRO Marti;JULIAN Vicente;2010
NAVARRO Marti;HEFFERO Alvaro;2010
CORCHADO Emilio;JULIAN Vicente;2010
CORCHADO Emilio;HEFFERO Alvaro;2010
JULIAN Vicente;HEFFERO Alvaro;2010
KIM Eun Jung;ORDYNIAK Sebastian;2010
KIM Eun Jung;SZEIDER Stefan;2010
ORDYNIAK Sebastian;SZEIDER Stefan;2010
HERAWAN Tutut;DERIS Mustafa Mat;2010
GRAY Douglas;YU Kai;2010
GRAY Douglas;XU Wei;2010
GRAY Douglas;GONG Yihong;2010
YU Kai;XU Wei;2010
YU Kai;GONG Yihong;2010
XU Wei;GONG Yihong;2010
MARTINS J. P.;MORGADO E.;2010
KOHOUT Karel;NAHODIL Pavel;2010
SCHREIBER Lothar;SOMMER Hanns;2010
DE CARVALHO Fabio Romeu;ABE Jair Minoro;2010
SCHRODER Lutz;VENEMA Yde;2010
LORENTS Peeter;OTTIS Rain;2010
SUNDAR Shyam;SINGH Alok;2010
SUNDAR Shyam;ROSSI Andre;2010
SINGH Alok;ROSSI Andre;2010
KUPERIN Y. A.;MEKLER A. A.;2010
KUPERIN Y. A.;SCHWARTZ D. R.;2010
KUPERIN Y. A.;KNIAZEVA I.;2010
KUPERIN Y. A.;RIMAR V. I.;2010
KUPERIN Y. A.;DMITRENKO V. V.;2010
KUPERIN Y. A.;KAVSAN V. M.;2010
MEKLER A. A.;SCHWARTZ D. R.;2010
MEKLER A. A.;KNIAZEVA I.;2010
MEKLER A. A.;RIMAR V. I.;2010
MEKLER A. A.;DMITRENKO V. V.;2010
MEKLER A. A.;KAVSAN V. M.;2010
SCHWARTZ D. R.;KNIAZEVA I.;2010
SCHWARTZ D. R.;RIMAR V. I.;2010
SCHWARTZ D. R.;DMITRENKO V. V.;2010
SCHWARTZ D. R.;KAVSAN V. M.;2010
KNIAZEVA I.;RIMAR V. I.;2010
KNIAZEVA I.;DMITRENKO V. V.;2010
KNIAZEVA I.;KAVSAN V. M.;2010
RIMAR V. I.;DMITRENKO V. V.;2010
RIMAR V. I.;KAVSAN V. M.;2010
DMITRENKO V. V.;KAVSAN V. M.;2010
KIM Jaekwang;YOON Kwang Ho;2010
KIM Jaekwang;YOON Taebok;2010
KIM Jaekwang;LEE Jee-Hyong;2010
YOON Kwang Ho;YOON Taebok;2010
YOON Kwang Ho;LEE Jee-Hyong;2010
YOON Taebok;LEE Jee-Hyong;2010
LACKNER Guenther;TEUFL Peter;2010
LACKNER Guenther;WEINBERGER Roman;2010
TEUFL Peter;WEINBERGER Roman;2010
SHIDANSHIDI Hooman;NAGHDY Fazel;2010
SHIDANSHIDI Hooman;NAGHDY Golshah;2010
SHIDANSHIDI Hooman;CONROY Diana Wood;2010
NAGHDY Fazel;NAGHDY Golshah;2010
NAGHDY Fazel;CONROY Diana Wood;2010
NAGHDY Golshah;CONROY Diana Wood;2010
PULIDO Belarmino;BREGON Anibal;2010
PULIDO Belarmino;ALONSO-GONZALEZ Carlos J.;2010
BREGON Anibal;ALONSO-GONZALEZ Carlos J.;2010
ZHONG Xiuqin;FU Hongguang;2010
ZHONG Xiuqin;JIANG Yan;2010
FU Hongguang;JIANG Yan;2010
PU Wenyu;RUI Yunnain;2010
PU Wenyu;ZHAO Liansheng;2010
PU Wenyu;ZHANG Chunyan;2010
RUI Yunnain;ZHAO Liansheng;2010
RUI Yunnain;ZHANG Chunyan;2010
ZHAO Liansheng;ZHANG Chunyan;2010
LOVELL Chris;JONES Gareth;2010
LOVELL Chris;GUNN Steve R.;2010
LOVELL Chris;ZAUNER Klaus-Peter;2010
JONES Gareth;GUNN Steve R.;2010
JONES Gareth;ZAUNER Klaus-Peter;2010
GUNN Steve R.;ZAUNER Klaus-Peter;2010
CARNEIRO Davide;NOVAIS Paulo;2010
CARNEIRO Davide;ANDRADE Francisco;2010
CARNEIRO Davide;ZELEZNIKOW John;2010
CARNEIRO Davide;NEVES Jose;2010
NOVAIS Paulo;ANDRADE Francisco;2010
NOVAIS Paulo;ZELEZNIKOW John;2010
NOVAIS Paulo;NEVES Jose;2010
ANDRADE Francisco;ZELEZNIKOW John;2010
ANDRADE Francisco;NEVES Jose;2010
ZELEZNIKOW John;NEVES Jose;2010
PLUMED Raquel;COMPANY Pedro;2010
PLUMED Raquel;PIQUER Ana;2010
PLUMED Raquel;VARLEY Peter A. C.;2010
COMPANY Pedro;PIQUER Ana;2010
COMPANY Pedro;VARLEY Peter A. C.;2010
PIQUER Ana;VARLEY Peter A. C.;2010
LIMA Luis;NOVAIS Paulo;2010
LIMA Luis;COSTA Ricardo;2010
LIMA Luis;CRUZ Jose Bulas;2010
LIMA Luis;NEVES Jose;2010
NOVAIS Paulo;COSTA Ricardo;2010
NOVAIS Paulo;CRUZ Jose Bulas;2010
NOVAIS Paulo;NEVES Jose;2010
COSTA Ricardo;CRUZ Jose Bulas;2010
COSTA Ricardo;NEVES Jose;2010
CRUZ Jose Bulas;NEVES Jose;2010
GIL David;JOHNSSON Magnus;2010
GIL David;GARCIA CHAMIZO Juan Manuel;2010
GIL David;SORIANO PAYA Antonio;2010
GIL David;RUIZ FERNANDEZ Daniel;2010
JOHNSSON Magnus;GARCIA CHAMIZO Juan Manuel;2010
JOHNSSON Magnus;SORIANO PAYA Antonio;2010
JOHNSSON Magnus;RUIZ FERNANDEZ Daniel;2010
GARCIA CHAMIZO Juan Manuel;SORIANO PAYA Antonio;2010
GARCIA CHAMIZO Juan Manuel;RUIZ FERNANDEZ Daniel;2010
SORIANO PAYA Antonio;RUIZ FERNANDEZ Daniel;2010
CHAVES-GONZALEZ Jose M.;VEGA-RODRIGUEZ Miguel A.;2010
CHAVES-GONZALEZ Jose M.;GOMEZ-PULIDO Juan A.;2010
CHAVES-GONZALEZ Jose M.;SANCHEZ-PEREZ Juan M.;2010
VEGA-RODRIGUEZ Miguel A.;GOMEZ-PULIDO Juan A.;2010
VEGA-RODRIGUEZ Miguel A.;SANCHEZ-PEREZ Juan M.;2010
GOMEZ-PULIDO Juan A.;SANCHEZ-PEREZ Juan M.;2010
MIRANDA Miguel;MACHADO Jose;2010
MIRANDA Miguel;ABELHA Antonio;2010
MIRANDA Miguel;PONTES Gabriel;2010
MIRANDA Miguel;NEVES Jose;2010
MACHADO Jose;ABELHA Antonio;2010
MACHADO Jose;PONTES Gabriel;2010
MACHADO Jose;NEVES Jose;2010
ABELHA Antonio;PONTES Gabriel;2010
ABELHA Antonio;NEVES Jose;2010
PONTES Gabriel;NEVES Jose;2010
BILLINGSLEY William;GALLOIS Cindy;2010
BILLINGSLEY William;SMITH Andrew;2010
BILLINGSLEY William;MARKS Timothy;2010
BILLINGSLEY William;BERNAL Fernando;2010
BILLINGSLEY William;WATSON Marcus;2010
GALLOIS Cindy;SMITH Andrew;2010
GALLOIS Cindy;MARKS Timothy;2010
GALLOIS Cindy;BERNAL Fernando;2010
GALLOIS Cindy;WATSON Marcus;2010
SMITH Andrew;MARKS Timothy;2010
SMITH Andrew;BERNAL Fernando;2010
SMITH Andrew;WATSON Marcus;2010
MARKS Timothy;BERNAL Fernando;2010
MARKS Timothy;WATSON Marcus;2010
BERNAL Fernando;WATSON Marcus;2010
BRESOLIN D.;DELLA MONICA D.;2010
BRESOLIN D.;GORANKO V.;2010
BRESOLIN D.;MONTANARI A.;2010
BRESOLIN D.;SCIAVICCO G.;2010
DELLA MONICA D.;GORANKO V.;2010
DELLA MONICA D.;MONTANARI A.;2010
DELLA MONICA D.;SCIAVICCO G.;2010
GORANKO V.;MONTANARI A.;2010
GORANKO V.;SCIAVICCO G.;2010
MONTANARI A.;SCIAVICCO G.;2010
PICHLER Reinhard;WOLTRAN Stefan;2010
BEN HASSENA Anouar;MICLET Laurent;2010
ALONSO Juan I.;DE LA OSSA Luis;2010
ALONSO Juan I.;JULIA FLORES M.;2010
ALONSO Juan I.;GAMEZ Jose A.;2010
ALONSO Juan I.;MARTINEZ-GOMEZ Jesus;2010
ALONSO Juan I.;PUERTA Jose M.;2010
DE LA OSSA Luis;JULIA FLORES M.;2010
DE LA OSSA Luis;GAMEZ Jose A.;2010
DE LA OSSA Luis;MARTINEZ-GOMEZ Jesus;2010
DE LA OSSA Luis;PUERTA Jose M.;2010
JULIA FLORES M.;GAMEZ Jose A.;2010
JULIA FLORES M.;MARTINEZ-GOMEZ Jesus;2010
JULIA FLORES M.;PUERTA Jose M.;2010
GAMEZ Jose A.;MARTINEZ-GOMEZ Jesus;2010
GAMEZ Jose A.;PUERTA Jose M.;2010
MARTINEZ-GOMEZ Jesus;PUERTA Jose M.;2010
PERTEGAL FELICES Maria Luisa;NAVARRO SORIA Ignacio Javier;2010
PERTEGAL FELICES Maria Luisa;JIMENO MORENILLA Antonio Manuel;2010
PERTEGAL FELICES Maria Luisa;GIL MENDEZ David;2010
NAVARRO SORIA Ignacio Javier;JIMENO MORENILLA Antonio Manuel;2010
NAVARRO SORIA Ignacio Javier;GIL MENDEZ David;2010
JIMENO MORENILLA Antonio Manuel;GIL MENDEZ David;2010
LEGGE Doug;BADII Atta;2010
KASAEI S. H.;KASAEI S. M.;2010
KASAEI S. H.;KASAEI S. A.;2010
KASAEI S. H.;TAHERI M.;2010
KASAEI S. M.;KASAEI S. A.;2010
KASAEI S. M.;TAHERI M.;2010
KASAEI S. A.;TAHERI M.;2010
OMAR M.;ALDEBREZ F. M.;2010
OMAR M.;MARTHA M. A.;2010
OMAR M.;TOKHI M. O.;2010
ALDEBREZ F. M.;MARTHA M. A.;2010
ALDEBREZ F. M.;TOKHI M. O.;2010
MARTHA M. A.;TOKHI M. O.;2010
IURGEL Ido A.;DA SILVA Rogerio E.;2010
IURGEL Ido A.;DOS SANTOS Manuel F.;2010
DA SILVA Rogerio E.;DOS SANTOS Manuel F.;2010
LAROQUE Christoph;KRIMMER Sebastian;2010
LAROQUE Christoph;DELIUS Robin;2010
KRIMMER Sebastian;DELIUS Robin;2010
BIBAI Jacques;SAVEANT Pierre;2010
BIBAI Jacques;SCHOENAUER Marc;2010
BIBAI Jacques;VIDAL Vincent;2010
SAVEANT Pierre;SCHOENAUER Marc;2010
SAVEANT Pierre;VIDAL Vincent;2010
SCHOENAUER Marc;VIDAL Vincent;2010
AICHERNIG Bernhard K.;BRANDL Harald;2010
AICHERNIG Bernhard K.;JOEBSTL Elisabeth;2010
AICHERNIG Bernhard K.;KRENN Willibald;2010
BRANDL Harald;JOEBSTL Elisabeth;2010
BRANDL Harald;KRENN Willibald;2010
JOEBSTL Elisabeth;KRENN Willibald;2010
PRODAN Augustin;RUSU Madalina;2010
PRODAN Augustin;REVNIC Cornelia;2010
PRODAN Augustin;CAMPEAN Remus;2010
PRODAN Augustin;MITREA Paulina;2010
PRODAN Augustin;PRODAN Rodica;2010
RUSU Madalina;REVNIC Cornelia;2010
RUSU Madalina;CAMPEAN Remus;2010
RUSU Madalina;MITREA Paulina;2010
RUSU Madalina;PRODAN Rodica;2010
REVNIC Cornelia;CAMPEAN Remus;2010
REVNIC Cornelia;MITREA Paulina;2010
REVNIC Cornelia;PRODAN Rodica;2010
CAMPEAN Remus;MITREA Paulina;2010
CAMPEAN Remus;PRODAN Rodica;2010
MITREA Paulina;PRODAN Rodica;2010
KHALIL Wajeeha;SCHIKUTA Erich;2010
LIN Mingjie;LEBEDEV Ilia;2010
LIN Mingjie;WAWRZYNEK John;2010
LEBEDEV Ilia;WAWRZYNEK John;2010
KHAMASSI Mehdi;QUILODRAN Rene;2010
KHAMASSI Mehdi;ENEL Pierre;2010
KHAMASSI Mehdi;PROCYK Emmanuel;2010
KHAMASSI Mehdi;DOMINEY Peter F.;2010
QUILODRAN Rene;ENEL Pierre;2010
QUILODRAN Rene;PROCYK Emmanuel;2010
QUILODRAN Rene;DOMINEY Peter F.;2010
ENEL Pierre;PROCYK Emmanuel;2010
ENEL Pierre;DOMINEY Peter F.;2010
PROCYK Emmanuel;DOMINEY Peter F.;2010
LIU H. L.;LI X. P.;2010
LIU H. L.;RUI Y. N.;2010
LIU H. L.;HE Y. P.;2010
LI X. P.;RUI Y. N.;2010
LI X. P.;HE Y. P.;2010
RUI Y. N.;HE Y. P.;2010
ZAHOOR Muhammad Asif Raja;KHAN Junaid Ali;2010
ZAHOOR Muhammad Asif Raja;QURESHI I. M.;2010
KHAN Junaid Ali;QURESHI I. M.;2010
GREENE Casey S.;HILL Douglas P.;2010
GREENE Casey S.;MOORE Jason H.;2010
HILL Douglas P.;MOORE Jason H.;2010
FORMAGGIO A. R.;VIEIRA M. A.;2010
FORMAGGIO A. R.;RENNO C. D.;2010
FORMAGGIO A. R.;AGUIAR D. A.;2010
FORMAGGIO A. R.;MELLO M. P.;2010
VIEIRA M. A.;RENNO C. D.;2010
VIEIRA M. A.;AGUIAR D. A.;2010
VIEIRA M. A.;MELLO M. P.;2010
RENNO C. D.;AGUIAR D. A.;2010
RENNO C. D.;MELLO M. P.;2010
AGUIAR D. A.;MELLO M. P.;2010
PAPAKOSTAS G. A.;KARRAS D. A.;2010
PAPAKOSTAS G. A.;MERTZIOS B. G.;2010
PAPAKOSTAS G. A.;GRAVERON-DEMILLY D.;2010
PAPAKOSTAS G. A.;VAN ORMONDT D.;2010
KARRAS D. A.;MERTZIOS B. G.;2010
KARRAS D. A.;GRAVERON-DEMILLY D.;2010
KARRAS D. A.;VAN ORMONDT D.;2010
MERTZIOS B. G.;GRAVERON-DEMILLY D.;2010
MERTZIOS B. G.;VAN ORMONDT D.;2010
GRAVERON-DEMILLY D.;VAN ORMONDT D.;2010
KARNIEL Amir;NISKY Ilana;2010
KARNIEL Amir;AVRAHAM Guy;2010
KARNIEL Amir;PELES Bat-Chen;2010
KARNIEL Amir;LEVY-TZEDEK Shelly;2010
NISKY Ilana;AVRAHAM Guy;2010
NISKY Ilana;PELES Bat-Chen;2010
NISKY Ilana;LEVY-TZEDEK Shelly;2010
AVRAHAM Guy;PELES Bat-Chen;2010
AVRAHAM Guy;LEVY-TZEDEK Shelly;2010
PELES Bat-Chen;LEVY-TZEDEK Shelly;2010
VEREDAS Francisco J.;MESA Hector;2010
VEREDAS Francisco J.;MORILLA Juan C.;2010
VEREDAS Francisco J.;MORENTE Laura;2010
MESA Hector;MORILLA Juan C.;2010
MESA Hector;MORENTE Laura;2010
MORILLA Juan C.;MORENTE Laura;2010
FERRER Olga;DUVAL Vinicius;2010
FERRER Olga;DELGADO Jaime;2010
FERRER Olga;ROLIM Claudio;2010
FERRER Olga;TOUS Ruben;2010
DUVAL Vinicius;DELGADO Jaime;2010
DUVAL Vinicius;ROLIM Claudio;2010
DUVAL Vinicius;TOUS Ruben;2010
DELGADO Jaime;ROLIM Claudio;2010
DELGADO Jaime;TOUS Ruben;2010
ROLIM Claudio;TOUS Ruben;2010
ZUEHLKE Detlef;MEIXNER Gerrit;2010
ZUEHLKE Detlef;KLEIN Ulrike;2010
MEIXNER Gerrit;KLEIN Ulrike;2010
TANACKOV Ilija;SIMIC Dragan;2010
TANACKOV Ilija;SREMAC Sinisa;2010
TANACKOV Ilija;TEPIC Jovan;2010
TANACKOV Ilija;KOCIC-TANACKOV Suncica;2010
SIMIC Dragan;SREMAC Sinisa;2010
SIMIC Dragan;TEPIC Jovan;2010
SIMIC Dragan;KOCIC-TANACKOV Suncica;2010
SREMAC Sinisa;TEPIC Jovan;2010
SREMAC Sinisa;KOCIC-TANACKOV Suncica;2010
TEPIC Jovan;KOCIC-TANACKOV Suncica;2010
PINTEA Camelia-M.;CRISAN Gloria-Cerasela;2010
PINTEA Camelia-M.;CHIRA Camelia;2010
CRISAN Gloria-Cerasela;CHIRA Camelia;2010
ROY Patrice C.;BOUCHARD Bruno;2010
ROY Patrice C.;BOUZOUANE Abdenour;2010
ROY Patrice C.;GIROUX Sylvain;2010
BOUCHARD Bruno;BOUZOUANE Abdenour;2010
BOUCHARD Bruno;GIROUX Sylvain;2010
BOUZOUANE Abdenour;GIROUX Sylvain;2010
DE OLIVEIRA RODRIGUES Cleyton Mario;DANTAS GALVAO Eric Rommel;2010
DE OLIVEIRA RODRIGUES Cleyton Mario;DE AZEVEDO Ryan Ribeiro;2010
